VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE,,,,,,,,
97506,1002,CERIUM TOTAL,CÉRIUM TOTAL,RARE EARTH,TERRES RARES,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97507,456,COBALT TOTAL,COBALT TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97508,463,CHROMIUM TOTAL,CHROME TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97509,1003,CESIUM TOTAL,CÉSIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97510,470,COPPER TOTAL,CUIVRE TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97511,519,IRON TOTAL,FER TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97512,3135,"GALLIUM, TOTAL","GALLIUM, TOTAL",METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97513,1006,LANTHANUM TOTAL,LANTHANE TOTAL,RARE EARTH,TERRES RARES,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97514,576,LITHIUM TOTAL,LITHIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97515,591,MANGANESE TOTAL,MANGANÈSE TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97516,595,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97517,3334,NIOBIUM TOTAL,NIOBIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97518,610,NICKEL TOTAL,NICKEL TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97519,683,LEAD TOTAL,PLOMB TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97520,3335,PLATINUM TOTAL,PLATINE TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97521,1008,RUBIDIUM TOTAL,RUBIDIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97522,766,ANTIMONY TOTAL,ANTIMOINE TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97523,782,SELENIUM TOTAL,SÉLÉNIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97524,812,TIN TOTAL,ÉTAIN TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97525,823,STRONTIUM TOTAL,STRONTIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97527,861,THALLIUM TOTAL,THALLIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97528,2725,URANIUM TOTAL,URANIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97529,878,VANADIUM TOTAL,VANADIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97530,1013,TUNGSTEN TOTAL,TUNGSTÈNE TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97531,3336,YTTRIUM TOTAL,YTTRIUM TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97532,890,ZINC TOTAL,ZINC TOTAL,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1919,"METALS IN WATER, TOTAL,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX TOTAUX DANS L'EAU, DIGESTION ""EN BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97578,349,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97579,371,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97580,377,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97581,400,BORON EXTRACTABLE,BORE EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97582,387,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97583,392,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97584,2832,BISMUTH EXTRACTABLE,BISMUTH EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97585,410,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97586,3488,CERIUM EXTRACTABLE,CÉRIUM EXTRACTIBLE,RARE EARTH,TERRES RARES,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97587,454,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97588,461,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97589,3333,CESIUM EXTRACTABLE,CÉSIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97590,468,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97591,517,IRON EXTRACTABLE,FER EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97592,2843,"GALLIUM, EXTRACTABLE - GA","GALLIUM, EXTRACTIBLE - GA",METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97593,2845,LANTHANUM EXTRACTABLE,LANTHANE EXTRACTIBLE,RARE EARTH,TERRES RARES,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97594,575,LITHIUM EXTRACTABLE,LITHIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97595,589,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97596,594,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97597,3489,"NIOBIUM, EXTRACTABLE","NIOBIUM, EXTRACTIBLE",METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97598,608,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97599,679,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97600,3490,"PLATINUM, EXTRACTABLE","PLATINE, EXTRACTIBLE",METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97601,2844,"RUBIDIUM, EXTRACTABLE - RB","RUBIDIUM, EXTRACTIBLE - RB",METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97602,764,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97603,780,SELENIUM EXTRACTABLE,SÉLÉNIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97604,811,TIN EXTRACTABLE,ÉTAIN EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97605,820,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97607,860,THALLIUM EXTRACTABLE,THALLIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97608,2733,URANIUM EXTRACTABLE,URANIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97609,877,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97610,886,TUNGSTEN EXTRACTABLE,TUNGSTÈNE EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97611,888,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1917,"METALS IN WATER, EXTRACTABLE,  ICP-SFMS",MÉTAUX EXTRACTIBLES DANS L'EAU PAR ICP-SFMS,,,,,,,,
97958,532,FLUORIDE DISSOLVED,FLUORURE DISSOUS,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,1923,"IONS BY ION CHROMATOGRAPHY, DISSOLVED:",IONS DISSOUS PAR CHROMATOGRAPHIE IONIQUE,,,,,,,,
97959,3485,"CHLORIDE, TOTAL","CHLORURES, TOTAUX",MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,1922,"IONS BY ION CHROMATOGRAPHY, UNFILTERED:",IONS NON-FILTRÉS PAR CHROMATOGRAPHIE IONIQUE,,,,,,,,
97960,3486,"SULPHATE, TOTAL","SULFATES, TOTAUX",MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,1922,"IONS BY ION CHROMATOGRAPHY, UNFILTERED:",IONS NON-FILTRÉS PAR CHROMATOGRAPHIE IONIQUE,,,,,,,,
97962,348,SILVER DISSOLVED,ARGENT DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97963,370,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97964,376,ARSENIC DISSOLVED,ARSENIC DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97965,399,BORON DISSOLVED,BORE DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97966,386,BARIUM DISSOLVED,BARYUM DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97967,391,BERYLLIUM DISSOLVED,BÉRYLLIUM DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97968,1050,BISMUTH DISSOLVED,BISMUTH DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97969,409,CADMIUM DISSOLVED,CADMIUM DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97970,3327,CERIUM DISSOLVED,CÉRIUM DISSOUS,RARE EARTH,TERRES RARES,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97971,453,COBALT DISSOLVED,COBALT DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97972,460,CHROMIUM DISSOLVED,CHROME DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97973,2634,CESIUM DISSOLVED,CÉSIUM DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97974,467,COPPER DISSOLVED,CUIVRE DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
97975,516,IRON DISSOLVED,FER DISSOUS,METAL,MÉTAUX,UG/L,MICROGRAMS PER LITRE,MICROGRAMMES PAR LITRE,1920,"METALS IN WATER , DISSOLVED,  ""IN-BOTTLE"" DIGESTION, ICP-SFMS:","MÉTAUX DISSOUS DANS L'EAU, DIGESTION ""EN-BOUTEILLE"" PAR ICP-SFMS",,,,,,,,
